id,type,text1,text2,text3,text4,text5,notes
XLII_phasetorparray,SHIP_SYSTEM,Deploys several phase-synchronised torpedoes that materialise alongside the ship. Automated fire control handles payload timing through predictive methods that have raised questions during post-action audits. Can be used while phased.,Offensive,"Fires a guided heavy phase torpedo, dumbfired when without a target solution. Each torpedo deals 2000 High Explosive damage in an area. Can be used while phased.",2000 High Explosive,"Each torpedo deals {{2000 High Explosive}} damage, and can be deployed up to a range of approximately {{1200}} su. Missiles fired from phase space materialise within {{500}} su of their target.",
XLII_missilebarrage,SHIP_SYSTEM,Launches missile volleys at enemies in the forward arc at regular intervals while increasing weapon damage and rate of fire. The ship's speed is reduced and each volley generates significant flux.,Offensive,Launches missile volleys at enemies in the forward arc. Each missile deals 300 High Explosive damage. Increases weapon damage and rate of fire while active; reduces top speed and generates flux.,300 High Explosive,Ballistic and energy weapon damage and rate of fire are increased by {{25%}}. Top speed is reduced by {{10%}}. Each missile generates {{500}} flux and each missile deals {{300 High Explosive}} damage.,
XLII_rastaban_missile,WEAPON,"An advanced, semi-autonomous loitering munition that patrols a wide area around its host ship before diving onto targets with surgical precision. Designed for long-duration presence and opportunistic strikes, it excels in chaotic battlespaces. Its range and fuel load make it an incredibly persistent weapon once launched.",,,,,
XLII_durendal,WEAPON,"""Sir? It's whispering again...""",- Sgt. Grayson Lyons  -  15th Fleet,,,,
XLII_durendal_mkii,WEAPON,"""Command says it's a precision weapon. But I’ve seen what happens when the firing vector drifts two degrees mid-charge - it peeled an entire station habitat off its ring. That's not precision. That’s God pointing a finger.""",- Capt. Adrien Vale  -  Task Group Elbrus,,,,
XLII_fragarch,WEAPON,"""Engineering keeps screaming about thermal overloads every time we fire this thing. Half the ship goes dark for three seconds while the capacitors recharge. But when you watch that tungsten rod turn a destroyer's bow section into molten slag... Worth every blown fuse.""",- Chief Gunner Rodriguez  -  8th Fleet,,,,
XLII_longsword,WEAPON,"""Don't be a dumb rock, sprint; be a brilliant pebble.""",- Lead R&D scientist  -  Project Oberhau,,,,
XLII_swordbreaker,WEAPON,"""It makes the CTTs wince whenever we need to unload a salvo. But once you've seen a Reaper torpedo full burn towards you, get intercepted, you quickly forgive the radar saturation.""",- Capt. John Mays  -  27th Fleet,,,,
XLII_estocflak,WEAPON,"""After the war. We've had countless new adversaries emerge, and they've given us more and more reason to arm every ship with twenty of these. Cover their battlespace in flak, pick through the scrap after.""",- Capt. John Mays  -  27th Fleet,,,,
XLII_razorflak,WEAPON,"""They say it's the last line of defence. That’s true enough - by the time it speaks, everything else has failed. I’ve stood under that chatter though, watched it stitch the dark full of tracers. It doesn’t guarantee survival. But it does promise you won’t go quiet.""",- Capt. Adrien Vale  -  Task Group Elbrus,,,,
XLII_rapier,WEAPON,"""The original design goals intended this to be a ground-based assault gun, but the ole Department of Acquisitions & Sustainment instead got this thing; too big, too complex and too expensive. So they gave it to us instead - And what a gift it was.""",- Capt. John Mays  -  27th Fleet,,,,
XLII_particlelance,WEAPON,"""Initial reports of a new LASER-based weapon in use by the militia in star system 42-D-b have proven to be false. Testing of an example obtained by intelligence has shown it works on a principle more similar to a particle collider. A stream of heavy particles is accelerated in a series of rings to a high fraction of C before being released towards a target. Energy usage is very high, however effect on unshielded targets is promising. Acquired documentation indicates an internal designation of AN/SEQ-7. Recommend further research into the operating principles of the weapon system for independent development.""",- Tri-Tachyon R&D scientist tasked to Project Drakonis,,,,
XLII_sovnyalance,WEAPON,"""The sample delivered per standing agreement arrived without documentation - again. Disassembly reveals no obvious innovation; the acceleration chamber is a scaled AN/SEQ-7 derivative. Yet output exceeds input by a factor our models cannot account for. Liaison denies requests for full schematics, citing 'operational security.' The Alliance either cannot or will not explain how a weapon of this yield is manufactured on a corrupted nanoforge. Both possibilities concern us.""",- Tri-Tachyon R&D scientist tasked to Project Drakonis,,,,
XLII_cestus,WEAPON,"""Look, we needed something that could reach out and slap a frigate from farther than polite society allows, but we also needed it to pretend it wasn’t a missile so Acquisitions wouldn’t have a stroke. So we took a perfectly good coilgun, gave the slugs a brain and a conscience, taught it to hunt just enough to feel personal, then stuffed the whole thing with enough NEMP warheads to make a Paragon crew think they’d been reincarnated as toasters. The limited ammunition makes it feel almost sporting.""",- Chief Gunner Rodriguez  -  8th Fleet,,,,
XLII_twinspear,WEAPON,"""We jury-rigged two atomic artillery pieces together to make this. Y'know they were only meant for atmospheric use? But command needed a miracle and nothing says divine intervention like a hundred-kiloton explosion.""",- Capt. John Mays  -  27th Fleet,,,,
XLII_halberd,WEAPON,"""We call it the 'Sword of Bureaucracy.' Why? Because it's slow, it's heavy, and it takes three forms to authorize a launch. But by God, when that nuke arcs in and kisses a cruiser mid-burn... It's worth it.""",- Capt. John Mays  -  27th Fleet,,,,
XLII_halberd_pod,WEAPON,"""Standard doctrine says one Halberd per target. Command looked at the loss projections, looked at the ammo budget, and authorised the twin mount. Now we file two sets of paperwork while the enemy files two sets of next-of-kin.""",- Capt. John Mays  -  27th Fleet,,,,
XLII_halberd_fighter,WEAPON,"A relic of a desperate war, this strategic warhead delivers city-cracking yields via an unstable fusion core. Slow, unwieldy, and rare - but when it hits, entire ships vanish in the fireball. Only the mad or the cornered dare load one.",,,,,
XLII_arquebus,WEAPON,"The Arquebus is a compact, guided missile featuring a conventional warhead, with most of its space allocated to advanced guidance systems and a powerful engine.",,,,,
XLII_backsword,WEAPON,"An archaic-style guided missile - slow and imprecise, yet capable of delivering a powerful payload. This missile features a high-explosive warhead that more than makes up for its inaccuracy.",,,,,
XLII_falchion,WEAPON,"An archaic-style guided missile - slow and imprecise, yet capable of delivering a powerful payload. This missile features a large, novel penetrator warhead that provides significant kinetic potential.",,,,,
XLII_bardiche_large,WEAPON,"""The targeting officer called it 'excessive ordnance allocation.' I called it insurance. Fifteen tubes cycling in five-round salvos, each warhead threading its own approach vector. The Heg destroyer tried to point-defence its way through. Admirable, really. By the fourth salvo there wasn't enough left to identify which ship it had been.""",- Capt. Adrien Vale  -  Task Group Elbrus,,,,
XLII_bardiche,WEAPON,"""Five came at once. I watched them curve around the prow, almost lazy in their approach. They weren’t fast anymore - they didn’t have to be. Our armour had already given way. The first three gutted the CIC. The rest... I don’t know. I woke up in a lifeboat, and the ship was gone.""","- Excerpt from psych eval, Crewman First Class R. Tennant",,,,
XLII_bardiche_single,WEAPON,"""Ratings call them 'party favours.' A tube, missiles, seconds to reload. The brass wanted volume fire from platforms too small to carry real ordnance. So we gave them quantity. You don't need to kill a frigate with one of these - you just need to remind it that there are seven more frigates behind you, all carrying the same 'gift'.""",- Chief Gunner Rodriguez  -  8th Fleet,,,,
XLII_bardiche_built-in,WEAPON,"""Five came at once. I watched them curve around the prow, almost lazy in their approach. They weren’t fast anymore - they didn’t have to be. Our armour had already given way. The first three gutted the CIC. The rest... I don’t know. I woke up in a lifeboat, and the ship was gone.""","- Excerpt from psych eval, Crewman First Class R. Tennant",,,,
XLII_mangonel,WEAPON,"""Captured FDR logs indicate HEGINT operatives within force recon suffered severe damage from an unknown weapon while investigating militia technology in star system 42-D-b. An example was obtained following the failed espionage efforts. The delivery mechanism is a rocket with several submunitions, each containing a chamber of plasma gas encased in a high-efficiency piezoelectric shell that superheats gas upon impact, in effect evading the challenges of plasma weapons by eliminating the need for external stabilisation at the cost of terminal effectiveness. Conclusion: Technology is a dead end. No further research is required.""","- Tri-Tachyon R&D report on the MGM-15 ""Mangonel""",,,,
XLII_pike,WEAPON,"""Archaic, outdated and obsolete. But tossing tungsten rods is one of humanity's greatest creations. And talk about cost-effectiveness!""",- Capt. John Mays  -  27th Fleet,,,,
